Name,Year,Genre,Publisher,Studio,Critic_Score,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Platform
Castlevania Chronicles,2001,Platform,Konami,Konami Computer Entertainment Tokyo,7.2,0.07,0.05,0.0,0.01,0.13,PS
Castlevania Double Pack,2006,Platform,Konami,KCET,9.0,0.07,0.03,0.0,0.0,0.1,GBA
Castlevania Judgment,2008,Fighting,Konami,Konami / Eighting,4.6,0.12,0.02,0.01,0.01,0.16,Wii
Castlevania: Aria of Sorrow,2003,Platform,Konami,KCET,8.8,0.2,0.07,0.0,0.0,0.28,GBA
Castlevania: Circle of the Moon,2001,Platform,Konami,KCEK,8.9,0.6,0.22,0.05,0.02,0.89,GBA
Castlevania: Curse of Darkness,2005,Action,Konami,Konami,7.2,0.27,0.17,0.05,0.05,0.54,PS2
Castlevania: Dawn of Sorrow,2005,Platform,Konami,Konami,8.9,0.34,0.03,0.03,0.03,0.43,DS
Castlevania: Harmony of Dissonance,2002,Platform,Konami,Konami Computer Entertainment Tokyo,8.6,0.16,0.06,0.04,0.0,0.26,GBA
Castlevania: Lament of Innocence,2003,Action,Konami,Konami Computer Entertainment Tokyo,8.1,0.46,0.36,0.0,0.12,0.94,PS2
Castlevania: Lords of Shadow,2010,Action,Konami,Mercury Steam,7.9,0.9199999999999999,0.54,0.11,0.2,1.77,PS3
Castlevania: Lords of Shadow - Mirror of Fate,2013,Action-Adventure,Konami Digital Entertainment,Mercury Steam,7.2,0.04,0.08,0.03,0.01,0.16,3DS
Castlevania: Order of Ecclesia,2008,Platform,Konami,Konami,8.2,0.27,0.03,0.04,0.03,0.37,DS
Castlevania: Portrait of Ruin,2006,Platform,Konami,Konami,8.5,0.31,0.02,0.04,0.03,0.4,DS
Castlevania: Symphony of the Night,1997,Platform,Konami,Konami Computer Entertainment Tokyo,9.3,0.58,0.4,0.21,0.08,1.27,PS
Castlevania: The Dracula X Chronicles,2007,Platform,Konami,Konami,8.0,0.22,0.09,0.04,0.07,0.42,PSP
Castrol Honda Superbike Racing,1999,Racing,Electronic Arts,Midas Interactive Entertainment,3.9,0.07,0.05,0.0,0.01,0.13,PS
Catherine,2011,Puzzle,Atlus,Atlus,7.9,0.5,0.21,0.23,0.08,1.02,PS3
Catwoman,2004,Action,Electronic Arts,Argonaut Games,4.6,0.2,0.09,0.0,0.02,0.34,Multi_Plateforme
Cave Story 3D,2011,Platform,NIS America,Nicalis,8.2,0.09,0.03,0.01,0.01,0.15,3DS
Cel Damage,2001,Racing,Electronic Arts,Pseudo Interactive,5.7,0.14,0.04,0.0,0.0,0.18,GC
Centipede,1999,Shooter,Hasbro Interactive,Leaping Lizard Software Inc.,5.9,0.36,0.25,0.0,0.04,0.65,PS
Centipede / Breakout / Warlords,2005,Misc,"Destination Software, Inc",Epicenter Interactive,5.6,0.05,0.02,0.0,0.0,0.07,GBA
Ceville,2009,Adventure,Kalypso,Realmforge Studios,9.0,0.0,0.02,0.0,0.0,0.02,PC
Champions of Norrath,2004,Role-Playing,Sony Online Entertainment,Snowblind Studios,8.5,0.63,0.49,0.0,0.16,1.28,PS2
Champions: Return to Arms,2005,Role-Playing,Sony Online Entertainment,Snowblind Studios,7.7,0.32,0.25,0.0,0.08,0.65,PS2
Championship Bass,2000,Sports,EA Sports,EA Seattle,7.1,0.18,0.12,0.0,0.02,0.32,PS
Championship Manager 2006,2006,Strategy,DTMC,Gusto Games,7.8,0.0,0.0,0.0,0.0,0.0,PSP
Championship Motocross 2001 featuring Ricky Carmichael,2001,Racing,THQ,Funcom,6.8,0.08,0.05,0.0,0.01,0.14,PS
Championship Motocross featuring Ricky Carmichael,1999,Racing,THQ,Funcom,7.5,0.32,0.22,0.0,0.04,0.58,PS
Championship Surfer,2000,Sports,Mattel Interactive,Krome Studios,7.2,0.03,0.02,0.0,0.0,0.06,PS
Chaos Legion,2003,Action,Capcom,Capcom Production Studio 6,6.2,0.15,0.12,0.0,0.04,0.3,PS2
Chaos Wars,2008,Strategy,O~3 Entertainment,Idea Factory,6.8,0.0,0.0,0.04,0.0,0.04,PS2
Chaotic: Shadow Warriors,2009,Action,Activision,Activision,6.2,0.14,0.0,0.0,0.01,0.16,X360
Charlie Blasts Territory,1999,Action,Kemco,Realtime Associates,5.9,0.02,0.01,0.0,0.0,0.03,N64
Charlie and the Chocolate Factory,2005,Adventure,Global Star Software,High Voltage Software,3.9,0.14,0.04,0.0,0.0,0.18,GC
Charlie's Angels,2003,Action,Ubisoft,Neko Entertainment,2.5,0.01,0.0,0.0,0.0,0.02,GC
Chessmaster,2002,Misc,Ubisoft,Ubisoft,7.5,0.03,0.01,0.0,0.0,0.04,GBA
Chessmaster II,1999,Strategy,Mindscape,Starsphere Interactive,7.5,0.08,0.06,0.0,0.01,0.15,PS
Chibi-Robo! Plug into Adventure!,2006,Adventure,Nintendo,skip Ltd.,7.4,0.23,0.06,0.09,0.01,0.39,GC
Chibi-Robo! Zip Lash,2015,Platform,Nintendo,Nintendo,5.5,0.14,0.09,0.07,0.02,0.32,3DS
Chicken Hunter,2008,Shooter,Mumbo Jumbo,Phenomedia,3.5,0.02,0.0,0.0,0.0,0.02,DS
Chicken Run,2000,Adventure,Eidos Interactive,Blitz Games,6.3,0.07,0.05,0.0,0.01,0.13,PS
Chicken Shoot,2007,Action,"Destination Software, Inc",Destination Software,3.0,0.32,0.0,0.0,0.02,0.35,Wii
Child of Eden,2011,Shooter,Ubisoft,Q Entertainment,7.7,0.37,0.22,0.0,0.08,0.66,PS3
Children of Mana,2006,Role-Playing,Nintendo,Next Entertainment,7.0,0.16,0.01,0.29,0.01,0.48,DS
Chocobo Racing,1999,Racing,Square EA,SquareSoft,5.4,0.07,0.05,0.3,0.03,0.44,PS
Chocobo's Dungeon 2,1999,Role-Playing,Square EA,SquareSoft,6.2,0.04,0.03,0.58,0.05,0.7,PS
Chromehounds,2006,Simulation,Sega,From Software,6.4,0.24,0.0,0.01,0.02,0.28,X360
Chrono Cross,2000,Role-Playing,Square EA,SquareSoft,9.7,0.62,0.42,0.69,0.12,1.86,PS
Chrono Trigger,2008,Role-Playing,Square Enix,Square Enix,9.2,0.61,0.17,0.49,0.08,1.34,DS
ChuChu Rocket!,2001,Puzzle,Sega,Sonic Team,8.1,0.06,0.02,0.0,0.0,0.09,GBA
Circuit Breakers,1998,Racing,Mindscape,Supersonic Software,5.9,0.04,0.03,0.0,0.0,0.07,PS
Cities XL 2012,2011,Strategy,Focus Home Interactive,Monte Cristo Multimedia,6.0,0.01,0.05,0.0,0.01,0.06,PC
Civilization II,1998,Strategy,Activision,LTI Grey Matter,8.2,0.15,0.11,0.0,0.02,0.28,PS
Clash of the Titans: The Videogame,2010,Action,Namco Bandai,Game Republic,3.8,0.08,0.06,0.0,0.02,0.16,X360
Class of Heroes,2009,Role-Playing,Atlus,ZeroDiv,5.4,0.06,0.0,0.08,0.01,0.14,PSP
Classic NES Series: Bomberman,2004,Puzzle,Nintendo,Hudson Soft,5.4,0.0,0.0,0.11,0.0,0.11,GBA
Classic NES Series: Castlevania,2004,Platform,Nintendo,Konami,7.4,0.17,0.06,0.09,0.01,0.33,GBA
Classic NES Series: Donkey Kong,2004,Platform,Nintendo,Nintendo,6.5,0.0,0.0,0.17,0.0,0.17,GBA
Classic NES Series: Dr. Mario,2004,Puzzle,Nintendo,Nintendo EAD,6.1,0.0,0.0,0.13,0.0,0.13,GBA
Classic NES Series: Excitebike,2004,Racing,Nintendo,Nintendo,6.4,0.0,0.0,0.1,0.0,0.1,GBA
Classic NES Series: Ice Climber,2004,Platform,Nintendo,Nintendo,6.1,0.0,0.0,0.2,0.0,0.2,GBA
Classic NES Series: Metroid,2004,Adventure,Nintendo,Nintendo R&D1,5.2,0.0,0.0,0.07,0.0,0.07,GBA
Classic NES Series: Pac-Man,2004,Puzzle,Nintendo,Nintendo,5.7,0.25,0.09,0.12,0.01,0.46,GBA
Classic NES Series: Super Mario Bros.,2004,Platform,Nintendo,Nintendo EAD,8.3,0.61,0.21,1.39,0.0,2.22,GBA
Classic NES Series: The Legend of Zelda,2004,Adventure,Nintendo,Nintendo EAD,8.4,0.0,0.0,0.24,0.0,0.24,GBA
Classic NES Series: Xevious,2004,Shooter,Nintendo,Nintendo,6.4,0.0,0.0,0.12,0.0,0.12,GBA
Classic NES Series: Zelda II: The Adventure of Link,2004,Adventure,Nintendo,Nintendo EAD,6.6,0.37,0.14,0.17,0.01,0.7,GBA
ClayFighter 63 1/3,1997,Fighting,Interplay,Danger Productions,3.1,0.17,0.04,0.0,0.0,0.21,N64
Clive Barker's Jericho,2007,Shooter,Codemasters,Mercury Steam / Alchemic Productions,5.8,0.45000000000000007,0.03,0.0,0.04,0.53,Multi_Plateforme
Clock Tower,1997,Adventure,ASCII Entertainment,Human Entertainment,6.1,0.07,0.05,0.38,0.03,0.53,PS
Clock Tower 3,2003,Adventure,Capcom,SunSoft,7.0,0.1,0.08,0.12,0.03,0.33,PS2
Clock Tower II: The Struggle Within,1999,Adventure,Agetec,Human Entertainment,4.4,0.02,0.01,0.12,0.01,0.17,PS
Cloudy With A Chance of Meatballs,2009,Adventure,Ubisoft,Ubisoft Shanghai,6.7,0.1,0.0,0.0,0.01,0.11,Wii
Cloudy With a Chance of Meatballs,2009,Adventure,Ubisoft,Ubisoft Shanghai,6.7,0.23,0.01,0.0,0.03,0.27,Multi_Plateforme
Club Penguin: Elite Penguin Force,2008,Adventure,Disney Interactive Studios,1st Playable Productions,7.0,1.87,0.97,0.0,0.3,3.14,DS
Clubhouse Games,2006,Misc,Nintendo,Agenda,8.3,0.59,1.8,0.73,0.34,3.45,DS
Code Name: S.T.E.A.M.,2015,Strategy,Nintendo,Intelligent Systems,8.0,0.14,0.05,0.02,0.02,0.22,3DS
Code of Princess,2012,Action-Adventure,Atlus,Studio Saizensen,7.2,0.16,0.0,0.03,0.02,0.2,3DS
Code of Princess EX,2018,Action,Nicalis,Studio Saizensen,7.2,0.02,0.0,0.01,0.0,0.03,NS
Coded Arms,2005,Shooter,Konami,Konami,6.1,0.28,0.29,0.0,0.17,0.75,PSP
Codename Tenka,1997,Shooter,Sony Computer Entertainment,Psygnosis,7.0,0.05,0.03,0.0,0.01,0.09,PS
Colin McRae Rally,2000,Racing,Sony Computer Entertainment,Codemasters,7.9,0.09,2.43,0.12,0.22,2.87,PS
Colin McRae Rally 2.0,2000,Racing,Codemasters,Codemasters,8.3,0.04,0.81,0.02,0.07,0.93,GBA
College Hoops 2K6,2005,Sports,2K Sports,Visual Concepts,8.3,0.3,0.12000000000000001,0.0,0.04,0.47,Multi_Plateforme
College Hoops 2K7,2006,Sports,2K Sports,Visual Concepts,7.9,0.36,0.0,0.0,0.03,0.39,PS3
Colony Wars,1997,Simulation,Psygnosis,Psygnosis,8.8,0.24,0.16,0.0,0.03,0.42,PS
Colony Wars III: Red Sun,2000,Simulation,Midway Games,Psygnosis,8.1,0.07,0.05,0.0,0.01,0.12,PS
Colony Wars: Vengeance,1998,Simulation,Psygnosis,Psygnosis,8.6,0.13,0.09,0.0,0.02,0.23,PS
Combat of Giants: Dinosaurs 3D,2011,Strategy,Ubisoft,Ubisoft,4.3,0.25,0.07,0.05,0.03,0.39,3DS
Command & Conquer,1997,Strategy,Westwood Studios,Westwood Studios,8.4,0.22,0.15,0.0,0.03,0.4,PS
Command & Conquer 3: Kane's Wrath,2008,Strategy,Electronic Arts,EA Los Angeles,7.0,0.16,0.06,0.0,0.02,0.24,X360
Command & Conquer 3: Tiberium Wars,2007,Strategy,Electronic Arts,EA Los Angeles,7.6,0.35,0.04,0.0,0.03,0.42,X360
Command & Conquer 4: Tiberian Twilight,2010,Strategy,Electronic Arts,EA Los Angeles,6.6,0.0,0.01,0.0,0.0,0.01,PC
Command & Conquer: Generals,2003,Strategy,Electronic Arts,EA Pacific,8.6,0.01,0.0,0.0,0.0,0.01,PC
Command & Conquer: Red Alert,1996,Strategy,Virgin Interactive,Westwood Studios,7.8,1.6,1.5,0.0,0.17,3.2600000000000002,PC
Command & Conquer: Red Alert 2,2000,Strategy,Electronic Arts,Westwood Studios,8.9,1.32,0.02,0.0,0.0,1.34,PC
Command & Conquer: Red Alert 3,2008,Strategy,Bethesda Softworks,EA Los Angeles,7.4,0.19,0.87,0.0,0.07,1.11,PC
Command & Conquer: Red Alert 3 Ultimate Edition,2009,Strategy,Electronic Arts,EA Los Angeles,7.4,0.14,0.16,0.0,0.06,0.35,PS3
Company of Heroes,2006,Strategy,THQ,Relic,9.4,0.0,0.04,0.0,0.0,0.04,PC
Conan,2007,Action,THQ,Nihilistic Software,7.1,0.16,0.02,0.0,0.01,0.19,X360
Condemned 2: Bloodshot,2008,Adventure,Sega,Monolith Productions,8.2,0.55,0.35,0.0,0.12,1.02,PS3
Condemned: Criminal Origins,2005,Action,Sega,Monolith Productions,8.2,0.36,0.02,0.0,0.03,0.41,X360
Conduit 2,2011,Shooter,Sega,High Voltage Software,6.3,0.07,0.04,0.0,0.01,0.12,Wii
Conflict: Denied Ops,2008,Shooter,Eidos Interactive,Pivotal Games,5.2,0.13,0.19,0.0,0.05,0.38,PS3
Conflict: Desert Storm,2003,Shooter,Gotham Games,Pivotal Games,6.3,0.06,0.02,0.0,0.0,0.08,GC
Conflict: Desert Storm II - Back to Bagdhad,2004,Shooter,Gotham Games,Pivotal Games,6.9,0.03,0.01,0.0,0.0,0.04,GC
Conker's Bad Fur Day,2001,Platform,Rare,Rare Ltd.,9.2,0.53,0.22,0.0,0.02,0.77,N64
Conker: Live And Reloaded,2005,Action-Adventure,Microsoft Game Studios,Rare Ltd.,8.1,0.49,0.2,0.0,0.02,0.71,XB
Contra 4,2007,Shooter,Konami,WayForward Technologies,8.1,0.28,0.0,0.01,0.02,0.3,DS
Contra Advance: The Alien Wars EX,2002,Shooter,Konami,Konami,6.7,0.08,0.03,0.0,0.0,0.11,GBA
Contra: Legacy of War,1996,Shooter,Konami,Appaloosa Interactive,6.5,0.37,0.25,0.0,0.04,0.67,PS
Contra: Shattered Soldier,2002,Shooter,Konami,Konami Computer Entertainment Tokyo,7.3,0.28,0.22,0.0,0.07,0.58,PS2
Cooking Mama,2006,Simulation,Majesco,Office Create,6.6,3.09,1.92,0.07,0.58,5.66,DS
Cooking Mama 2: Dinner With Friends,2007,Simulation,Majesco,Office Create,6.9,1.6,1.49,0.1,0.39,3.58,DS
Cooking Mama: Cook Off,2007,Simulation,Majesco,Office Create,5.9,1.41,1.12,0.05,0.3,2.89,Wii
Cooking Mama: Sweet Shop,2017,Simulation,Rising Star Games,Office Create,6.0,0.03,0.0,0.04,0.0,0.07,3DS
Corvette,2003,Racing,TDK Mediactive,Visual Impact,4.9,0.2,0.07,0.0,0.01,0.28,GBA
Counter-Strike: Condition Zero,2004,Shooter,Sierra Entertainment,Turtle Rock Studios,6.8,0.0,0.0,0.0,0.0,0.0,PC
Counter-Strike: Source,2004,Shooter,VU Games,Valve Software,9.3,0.0,0.07,0.0,0.01,0.08,PC
Crackdown,2007,Shooter,Microsoft Game Studios,Realtime Worlds,8.4,1.0,0.53,0.03,0.18,1.75,X360
Crackdown 2,2010,Shooter,Microsoft Game Studios,Ruffian Games,7.5,0.63,0.36,0.02,0.1,1.12,X360
Crash Bandicoot,1996,Platform,Sony Computer Entertainment,Naughty Dog,7.8,3.23,2.35,0.94,0.3,6.82,PS
Crash Bandicoot 2: Cortex Strikes Back,1997,Platform,Sony Computer Entertainment,Naughty Dog,8.6,3.78,2.17,1.31,0.31,7.58,PS
Crash Bandicoot 2: N-Tranced,2003,Platform,Vivendi Games,Vicarious Visions,7.5,0.63,0.66,0.0,0.07,1.36,GBA
Crash Bandicoot 3: Warped,1998,Platform,Sony Computer Entertainment,Naughty Dog,9.3,3.68,1.75,1.42,0.28,7.13,PS
Crash Bandicoot N. Sane Trilogy,2018,Platform,Activision,Toys for Bob,6.0,0.44,0.57,0.02,0.09,1.11,NS
Crash Bandicoot Purple: Ripto's Rampage,2004,Platform,Vivendi Games,Vicarious Visions,6.7,0.46,0.17,0.0,0.01,0.64,GBA
Crash Bandicoot: The Huge Adventure,2002,Platform,Vivendi Games,Vicarious Visions,8.3,0.95,0.7,0.0,0.08,1.73,GBA
Crash Bandicoot: The Wrath of Cortex,2001,Platform,Universal Interactive,Traveller's Tales,6.0,2.53,2.41,0.24,0.84,6.01,GC
Crash Bash,2000,Misc,Sony Computer Entertainment,Eurocom Entertainment Software,6.8,1.56,1.47,0.19,0.17,3.39,PS
Crash Nitro Kart,2003,Racing,Vivendi Games,Vicarious Visions,7.7,0.33,0.12,0.0,0.01,0.46,GBA
Crash Tag Team Racing,2005,Racing,VU Games,Radical Entertainment,6.3,0.16,0.06,0.0,0.03,0.25,PSP
Crash Team Racing,1999,Racing,Sony Computer Entertainment,Naughty Dog,9.2,2.57,1.57,0.44,0.21,4.79,PS
Crash of the Titans,2007,Action,Sierra Entertainment,Radical Entertainment,6.3,0.52,0.27,0.0,0.16999999999999998,0.96,PSP
Crash: Mind Over Mutant,2008,Platform,Activision,Radical Entertainment,4.8,0.45999999999999996,0.27,0.0,0.14,0.87,PSP
Crazy Taxi,2001,Racing,Acclaim Entertainment,Hitmaker,7.2,2.59,1.7200000000000002,0.19999999999999998,0.31,4.82,Multi_Plateforme
Crazy Taxi 2,2001,Racing,Sega,Hitmaker,8.3,0.0,0.0,0.07,0.0,0.07,DC
Crazy Taxi: Catch a Ride,2003,Racing,THQ,Graphic State,4.8,0.21,0.08,0.0,0.01,0.3,GBA
Crazy Taxi: Fare Wars,2007,Racing,Sega,Sniper Studios,6.3,0.1,0.23,0.02,0.13,0.48,PSP
Create,2010,Misc,Electronic Arts,EA Bright Light,6.0,0.25,0.06999999999999999,0.0,0.03,0.36,Multi_Plateforme
Crime Scene,2010,Adventure,SouthPeak Interactive,White Birds Productions,8.0,0.0,0.02,0.0,0.0,0.02,DS
Crimson Gem Saga,2009,Role-Playing,Atlus,"IronNos Co., Ltd.",7.3,0.06,0.0,0.0,0.0,0.06,PSP
Crimson Tears,2004,Role-Playing,Capcom,Spike / DreamFactory Ltd.,5.9,0.02,0.01,0.0,0.0,0.03,PS2
Crisis Core: Final Fantasy VII,2008,Role-Playing,Square Enix,Square Enix,8.1,1.35,0.6,0.8,0.44,3.19,PSP
Croc 2,1999,Platform,Fox Interactive,Argonaut Games,6.5,0.41,0.28,0.0,0.05,0.73,PS
Croc: Legend of the Gobbos,1997,Platform,Fox Interactive,Argonaut Games,7.6,1.57,1.79,0.0,0.2,3.56,PS
Cross Edge,2009,Role-Playing,NIS America,Compile Heart,5.4,0.14,0.02,0.05,0.02,0.23,PS3
"Crouching Tiger, Hidden Dragon",2005,Action,Ubisoft,Ubisoft,5.9,0.02,0.01,0.0,0.0,0.03,GBA
Cruis'n Exotica,2000,Racing,Midway Games,Gratuitous Games,5.8,0.17,0.04,0.0,0.0,0.21,N64
Cruis'n Velocity,2001,Racing,Midway Games,Graphic State,5.3,0.0,0.0,0.0,0.0,0.0,GBA
Crusaders of Might and Magic,2000,Role-Playing,3DO,3DO,6.0,0.14,0.1,0.0,0.02,0.25,PS
Crush,2007,Puzzle,Sega,Zoe Mode,8.5,0.07,0.0,0.0,0.01,0.08,PSP
Crush3D,2012,Platform,Sega,Zoë Mode,6.5,0.1,0.04,0.0,0.01,0.15,3DS
Cryostasis: Sleep of Reason,2009,Shooter,Aspyr,Action Forms Ltd.,7.0,0.0,0.0,0.0,0.0,0.0,PC
Crysis,2007,Shooter,Electronic Arts,Crytek,9.2,0.0,0.69,0.0,0.02,0.71,PC
Crysis 2,2011,Shooter,Electronic Arts,Crytek,8.7,1.3699999999999999,1.52,0.08,0.47,3.43,Multi_Plateforme
Crysis 3,2013,Shooter,Electronic Arts,Crytek,7.6,0.77,0.8,0.04,0.22000000000000003,1.83,PS3
Crysis: Warhead,2008,Shooter,Electronic Arts,Crytek,8.4,0.0,0.02,0.0,0.0,0.02,PC
Cubic Ninja,2011,Platform,Ubisoft,AQ Interactive,5.5,0.05,0.04,0.0,0.01,0.1,3DS
Cubivore: Survival of the Fittest,2002,Adventure,Atlus,Saru Brunei / Intelligent Systems,7.1,0.01,0.0,0.15,0.0,0.17,GC
Culdcept Revolt,2017,Strategy,NIS America,OmiyaSoft,7.3,0.0,0.0,0.07,0.0,0.07,3DS
Culdcept SAGA,2008,Role-Playing,Namco Bandai,OmiyaSoft,7.7,0.12,0.0,0.03,0.01,0.16,X360
Curious George,2006,Action,Namco,Torus Games,6.6,0.12,0.04,0.0,0.0,0.16,GBA
Cursed Mountain,2009,Adventure,Deep Silver,Sproing Interactive Media / Deep Silver Vienna,6.3,0.09,0.1,0.0,0.02,0.21,Wii
Custom Robo Arena,2007,Fighting,Nintendo,Noise Inc.,7.4,0.01,0.02,0.12,0.0,0.16,DS
DECA Sports Freedom,2010,Sports,Hudson Soft,Hudson Soft,3.0,0.27,0.04,0.0,0.02,0.33,X360
DJ Hero,2009,Misc,Activision,FreeStyleGames,8.3,1.5799999999999998,0.9800000000000001,0.0,0.54,3.0900000000000003,Multi_Plateforme
DJ Hero 2,2010,Misc,Activision,FreeStyle Games,8.4,1.62,0.4,0.0,0.2,2.23,Multi_Plateforme
DJ Max Fever,2009,Misc,PM Studios,Pentavision Entertainment,7.7,0.11,0.0,0.0,0.02,0.13,PSP
DK: King of Swing,2005,Platform,Nintendo,Paon Corporation,7.1,0.17,0.06,0.0,0.0,0.24,GBA
Daigasso! Band Brothers,2004,Misc,Nintendo,Nintendo R&D2,8.0,0.0,0.0,0.19,0.0,0.19,DS
Damnation,2009,Shooter,Codemasters,Blue Omega Entertainment,3.1,0.13,0.02,0.0,0.02,0.16,PS3
Dance Central,2010,Music,MTV Games,Harmonix Music Systems,8.4,2.15,0.76,0.01,0.26,3.18,X360
Dance Central 2,2011,Music,Microsoft,Harmonix Music Systems,8.6,1.45,0.41,0.01,0.16,2.04,X360
Dance Dance Revolution: Mario Mix,2005,Simulation,Nintendo,Konami,7.0,0.36,0.09,0.0,0.01,0.47,GC
Dance Dance Revolution: Mario Mix (JP sales),2005,Simulation,Nintendo,Konami,7.5,0.0,0.0,0.05,0.0,0.06,GC
Dance Paradise,2011,Misc,THQ,Smackdown Productions,7.0,0.1,0.01,0.0,0.01,0.12,X360
DanceMasters,2010,Misc,Konami,GCP1,6.2,0.15,0.02,0.02,0.01,0.2,X360
Danny Phantom: The Ultimate Enemy,2005,Action,THQ,Altron,7.5,0.16,0.06,0.0,0.0,0.22,GBA
Dante's Inferno,2010,Action,Electronic Arts,Visceral Games,6.6,1.3900000000000001,0.52,0.07,0.22,2.2,Multi_Plateforme
Daredevil,2003,Action,Encore,Griptonite Games,5.3,0.0,0.0,0.0,0.0,0.0,GBA
Dark Angel: Vampire Apocalypse,2001,Role-Playing,Metro 3D,Metro3D,4.6,0.04,0.03,0.0,0.01,0.09,PS2
Dark Arena,2002,Shooter,Majesco,Graphic State,6.8,0.03,0.01,0.0,0.0,0.04,GBA
Dark Cloud,2001,Role-Playing,Sony Computer Entertainment,Level 5,8.2,0.83,0.44,0.08,0.19,1.54,PS2
Dark Cloud 2,2003,Role-Playing,Sony Computer Entertainment,Level 5,8.6,0.38,0.25,0.26,0.07,0.96,PS2
Dark Messiah Might and Magic,2006,Role-Playing,Ubisoft,Arkane Studios / Floodgate Entertainment / Kuju Entertainment,7.3,0.0,0.0,0.0,0.0,0.0,PC
Dark Messiah of Might and Magic Elements,2008,Role-Playing,Ubisoft,Arkane Studios / Floodgate Entertainment / Kuju Entertainment,5.0,0.16,0.02,0.01,0.02,0.2,X360
Dark Sector,2008,Shooter,D3 Publisher,Digital Extremes,7.1,0.45,0.36,0.02,0.12000000000000001,0.95,PS3
Dark Souls,2011,Role-Playing,Namco Bandai,From Software,9.0,1.3900000000000001,0.8,0.54,0.31,3.04,PS3
Dark Souls: Remastered,2018,Role-Playing,Bandai Namco Entertainment,From Software,8.0,0.23,0.14,0.03,0.04,0.44,NS
Dark Void,2010,Action,Capcom,Airtight Games,6.1,0.37,0.22,0.0,0.08,0.6799999999999999,Multi_Plateforme
DarkStar One: Broken Alliance,2010,Simulation,Kalypso,Gaming Minds Studios,6.4,0.11,0.07,0.0,0.02,0.2,X360
Darkest of Days,2009,Shooter,Phantom EFX,8MonkeyLabs,4.6,0.09,0.0,0.0,0.01,0.1,X360
Darksiders,2010,Action,THQ,Vigil Games,7.8,0.76,0.48000000000000004,0.030000000000000002,0.21000000000000002,1.49,Multi_Plateforme
Darksiders II,2012,Action-Adventure,THQ,Vigil Games,7.8,0.9,0.81,0.01,0.23,1.95,Multi_Plateforme
Darksiders II: Deathinitive Edition,2015,Action-Adventure,Nordic Games,Gunfire Games,7.5,0.15000000000000002,0.13,0.0,0.05,0.32,PS4
Darkspore,2011,Role-Playing,Electronic Arts,Maxis,6.6,0.07,0.03,0.0,0.01,0.11,PC
Darkstalkers Chronicle: The Chaos Tower,2005,Fighting,Capcom,Capcom,7.5,0.13,0.0,0.0,0.01,0.15,PSP
Darkstone,1999,Role-Playing,Gathering of Developers,Delphine Software International,6.7,0.37,0.25,0.0,0.04,0.66,PC
Data East Arcade Classics,2010,Misc,Majesco,G1M2,5.0,0.08,0.0,0.0,0.01,0.09,Wii
Dave Mirra BMX Challenge,2006,Sports,Crave Entertainment,Left Field Productions,3.5,0.06,0.0,0.0,0.01,0.07,PSP
Dave Mirra Freestyle BMX,2000,Sports,Acclaim Entertainment,"Z-Axis, Ltd.",7.4,0.91,0.11,0.0,0.03,1.05,PS
Dave Mirra Freestyle BMX 2,2001,Sports,Acclaim Entertainment,Full Fat,8.0,0.14,0.05,0.0,0.0,0.19,GBA
Dave Mirra Freestyle BMX 3,2002,Sports,Acclaim Entertainment,Full Fat,8.0,0.02,0.01,0.0,0.0,0.03,GBA
David Beckham Soccer,2002,Sports,Majesco,Rage Software,3.1,0.0,0.0,0.0,0.0,0.0,GBA
Davis Cup Tennis,2002,Sports,Ubisoft,Hokus Pokus,6.4,0.01,0.0,0.0,0.0,0.02,GBA
Dawn of Discovery,2009,Simulation,Ubisoft,Sunflowers Interactive,7.9,0.19,0.41000000000000003,0.0,0.07,0.67,Multi_Plateforme
Dawn of Discovery: Venice,2010,Simulation,Ubisoft,Blue Byte Software / Related Designs,7.0,0.0,0.0,0.0,0.0,0.01,PC
Dawn of Mana,2007,Role-Playing,Square Enix,Square Enix,6.3,0.07,0.05,0.29,0.02,0.43,PS2
Daxter,2006,Platform,Sony Computer Entertainment,Ready at Dawn,8.6,2.45,1.02,0.0,0.77,4.23,PSP
Dead Cells,2018,Action,Merge Games,Motion Twin,9.3,0.08,0.02,0.0,0.01,0.11,NS
Dead Head Fred,2007,Action,D3 Publisher,Vicious Cycle,7.6,0.04,0.0,0.0,0.0,0.04,PSP
Dead Island,2011,Action,Deep Silver,Techland,6.7,2.68,1.51,0.15,0.55,4.890000000000001,Multi_Plateforme
Dead Island: Riptide,2013,Action,Deep Silver,Techland,5.6,0.7,0.55,0.08,0.17,1.5,Multi_Plateforme
Dead Rising,2006,Action,Capcom,Capcom Production Studio 1,8.4,1.16,0.65,0.08,0.2,2.09,X360
Dead Rising 2,2010,Action,Capcom,Blue Castle Games,7.7,1.28,1.1199999999999999,0.24,0.36,3.0,Multi_Plateforme
Dead Rising 2: Off the Record,2011,Action,Capcom,Blue Castle Games,6.8,0.32,0.18,0.1,0.06,0.65,Multi_Plateforme
Dead Rising: Chop Till You Drop,2009,Action,Capcom,Capcom Production Studio 1 / TOSE Software,6.7,0.15,0.07,0.05,0.02,0.29,Wii
Dead Space,2008,Shooter,Electronic Arts,EA Redwood Shores,8.9,1.94,1.59,0.0,0.48,3.9899999999999998,Multi_Plateforme
